Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category,Result
2013,Vera Farmiga,Norma Bates,Bates Motel,"""First You Dream, Then You Die""",A&E,Drama,Not A Winner
2013,Elisabeth Moss,Peggy Olson,Mad Men,"""The Better Half""",AMC,Drama,Not A Winner
2013,Kerry Washington,Olivia Pope,Scandal,"""Happy Birthday, Mr. President""",ABC,Drama,Not A Winner
2013,Robin Wright,Claire Underwood,House of Cards,"""Chapter 10""",Netflix,Drama,Not A Winner
2014,Julianna Margulies,Alicia Florrick,The Good Wife,"""The Last Call""",CBS,Drama,Winner
2014,Lizzy Caplan,Virginia E. Johnson,Masters of Sex,"""Pilot""",Showtime,Drama,Not A Winner
2014,Claire Danes,Carrie Mathison,Homeland,"""The Star""",Showtime,Drama,Not A Winner
2014,Michelle Dockery,Lady Mary Crawley,Downton Abbey,"""Episode One""",PBS,Drama,Not A Winner
2014,Kerry Washington,Olivia Pope,Scandal,"""The Fluffer""",ABC,Drama,Not A Winner
2014,Robin Wright,Claire Underwood,House of Cards,"""Chapter 26""",Netflix,Drama,Not A Winner
2015,Viola Davis,Annalise Keating,How to Get Away with Murder,"""Freakin' Whack-a-Mole""",ABC,Drama,Winner
2015,Claire Danes,Carrie Mathison,Homeland,"""From A to B and Back Again""",Showtime,Drama,Not A Winner
2015,Taraji P. Henson,Cookie Lyon,Empire,"""Pilot""",Fox,Drama,Not A Winner
2015,Tatiana Maslany,Various characters,Orphan Black,"""Certain Agony of the Battlefield""",BBC America,Drama,Not A Winner
2015,Elisabeth Moss,Peggy Olson,Mad Men,"""Person to Person""",AMC,Drama,Not A Winner
2015,Robin Wright,Claire Underwood,House of Cards,"""Chapter 32""",Netflix,Drama,Not A Winner
2016,Tatiana Maslany,Various characters,Orphan Black,"""The Antisocialism of Sex""",BBC America,Drama,Winner
2016,Claire Danes,Carrie Mathison,Homeland,"""Super Powers""",Showtime,Drama,Not A Winner
2016,Viola Davis,Annalise Keating,How to Get Away with Murder,"""There's My Baby""",ABC,Drama,Not A Winner
2016,Taraji P. Henson,Cookie Lyon,Empire,"""Rise by Sin""",Fox,Drama,Not A Winner
2016,Keri Russell,Elizabeth Jennings,The Americans,"""The Magic of David Copperfield V: The Statue of Liberty Disappears""",FX,Drama,Not A Winner
2016,Robin Wright,Claire Underwood,House of Cards,"""Chapter 49""",Netflix,Drama,Not A Winner
2017,Elisabeth Moss,June Osborne / Offred,The Handmaid's Tale,"""Night""",Hulu,Drama,Winner
2017,Viola Davis,Annalise Keating,How to Get Away with Murder,"""Wes""",ABC,Drama,Not A Winner
2017,Claire Foy,Queen Elizabeth II,The Crown,"""Assassins""",Netflix,Drama,Not A Winner
2017,Keri Russell,Elizabeth Jennings,The Americans,"""Dyatkovo""",FX,Drama,Not A Winner
2017,Evan Rachel Wood,Dolores Abernathy,Westworld,"""The Bicameral Mind""",HBO,Drama,Not A Winner
2017,Robin Wright,Claire Underwood,House of Cards,"""Chapter 65""",Netflix,Drama,Not A Winner
2018,Claire Foy,Queen Elizabeth II,The Crown,"""Dear Mrs. Kennedy""",Netflix,Drama,Winner
2018,Tatiana Maslany,Various characters,Orphan Black,"""To Right the Wrongs of Many""",BBC America,Drama,Not A Winner
2018,Elisabeth Moss,June Osborne / Offred,The Handmaid's Tale,"""The Last Ceremony""",Hulu,Drama,Not A Winner
2018,Sandra Oh,Eve Polastri,Killing Eve,"""I Have a Thing About Bathrooms""",BBC America,Drama,Not A Winner
2018,Keri Russell,Elizabeth Jennings,The Americans,"""The Summit""",FX,Drama,Not A Winner
2018,Evan Rachel Wood,Dolores Abernathy,Westworld,"""Reunion""",HBO,Drama,Not A Winner
2019,Jodie Comer,Villanelle,Killing Eve,"""I Hope You Like Missionary!""",BBC America,Drama,Winner
2019,Sandra Oh,Eve Polastri,Killing Eve,"""You're Mine""",BBC America,Drama,Not A Winner
2019,Emilia Clarke,Daenerys Targaryen,Game of Thrones,"""The Last of the Starks""",HBO,Drama,Not A Winner
2019,Viola Davis,Annalise Keating,How to Get Away with Murder,"""He Betrayed Us Both""",ABC,Drama,Not A Winner
2019,Laura Linney,Wendy Byrde,Ozark,"""One Way Out""",Netflix,Drama,Not A Winner
2019,Mandy Moore,Rebecca Pearson,This Is Us,"""The Graduates""",NBC,Drama,Not A Winner
2019,Robin Wright,Claire Underwood,House of Cards,"""Chapter 70""",Netflix,Drama,Not A Winner
2020,Zendaya,"Ruby ""Rue"" Bennett",Euphoria,"""Made You Look""",HBO,Drama,Winner
2020,Jodie Comer,Villanelle,Killing Eve,"""Are You From Pinner?""",BBC America,Drama,Not A Winner
2020,Sandra Oh,Eve Polastri,Killing Eve,"""Are You Leading or Am I?""",BBC America,Drama,Not A Winner
2020,Jennifer Aniston,Alex Levy,The Morning Show,"""In the Dark Night of the Soul It's Always 3:30 in the Morning""",Apple TV+,Drama,Not A Winner
2020,Olivia Colman,Queen Elizabeth II,The Crown,"""Cri de Coeur""",Netflix,Drama,Not A Winner
2020,Laura Linney,Wendy Byrde,Ozark,"""Fire Pink""",Netflix,Drama,Not A Winner
2021,Olivia Colman,Queen Elizabeth II,The Crown,"""48:1""",Netflix,Drama,Winner
2021,Emma Corrin,"Diana, Princess of Wales",The Crown,"""Fairytale""",Netflix,Drama,Not A Winner
2021,Uzo Aduba,Dr. Brooke Taylor,In Treatment,"""Brooke — Week 5""",HBO,Drama,Not A Winner
2021,Elisabeth Moss,June Osborne,The Handmaid's Tale,"""Home""",Hulu,Drama,Not A Winner
2021,Michaela Jaé Rodriguez,Blanca Rodriguez,Pose,"""Series Finale""",FX,Drama,Not A Winner
2021,Jurnee Smollett,"Letitia ""Leti"" Lewis",Lovecraft Country,"""Holy Ghost""",HBO,Drama,Not A Winner
2022,Zendaya,"Ruby ""Rue"" Bennett",Euphoria,"""Stand Still Like the Hummingbird""",HBO,Drama,Winner
2022,Jodie Comer,Villanelle,Killing Eve,"""Don't Get Eaten""",BBC America,Drama,Not A Winner
2022,Sandra Oh,Eve Polastri,Killing Eve,"""Making Dead Things Look Nice""",BBC America,Drama,Not A Winner
2022,Laura Linney,Wendy Byrde,Ozark,"""Pound of Flesh and Still Kickin'""",Netflix,Drama,Not A Winner
2022,Melanie Lynskey,Shauna Sadecki,Yellowjackets,"""Doomcoming""",Showtime,Drama,Not A Winner
2022,Reese Witherspoon,Bradley Jackson,The Morning Show,"""Confirmations""",Apple TV+,Drama,Not A Winner
