Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category
2013,Maggie Smith,Violet Crawley,Downton Abbey,"""Episode 301""",PBS,Drama
2014,Anna Gunn,Skyler White,Breaking Bad,"""Ozymandias""",AMC,Drama
2014,Christine Baranski,Diane Lockhart,The Good Wife,"""The Last Call""",CBS,Drama
2014,Joanne Froggatt,Anna Bates,Downton Abbey,"""Episode 404""",PBS,Drama
2014,Lena Headey,Cersei Lannister,Game of Thrones,"""The Lion and the Rose""",HBO,Drama
2014,Christina Hendricks,Joan Harris,Mad Men,"""The Strategy""",AMC,Drama
2014,Maggie Smith,Violet Crawley,Downton Abbey,"""Episode 408""",PBS,Drama
2015,Uzo Aduba,"Suzanne ""Crazy Eyes"" Warren",Orange Is the New Black,"""Hugs Can Be Deceiving""",Netflix,Drama
2015,Christine Baranski,Diane Lockhart,The Good Wife,"""Loser Edit""",CBS,Drama
2015,Emilia Clarke,Daenerys Targaryen,Game of Thrones,"""The Dance of Dragons""",HBO,Drama
2015,Joanne Froggatt,Anna Bates,Downton Abbey,"""Episode 508""",PBS,Drama
2015,Lena Headey,Cersei Lannister,Game of Thrones,"""Mother's Mercy""",HBO,Drama
2015,Christina Hendricks,Joan Harris,Mad Men,"""Lost Horizon""",AMC,Drama
2016,Maggie Smith,Violet Crawley,Downton Abbey,"""Episode 606""",PBS,Drama
2016,Emilia Clarke,Daenerys Targaryen,Game of Thrones,"""Book of the Stranger""",HBO,Drama
2016,Lena Headey,Cersei Lannister,Game of Thrones,"""The Winds of Winter""",HBO,Drama
2016,Maura Tierney,Helen Solloway,The Affair,"""204""",Showtime,Drama
2016,Maisie Williams,Arya Stark,Game of Thrones,"""No One""",HBO,Drama
2016,Constance Zimmer,Quinn King,UnREAL,"""Mother""",Lifetime,Drama
2017,Ann Dowd,Aunt Lydia,The Handmaid's Tale,"""Offred""",Hulu,Drama
2017,Uzo Aduba,"Suzanne ""Crazy Eyes"" Warren",Orange Is the New Black,"""People Persons""",Netflix,Drama
2017,Millie Bobby Brown,Eleven,Stranger Things,"""Chapter Seven: The Bathtub""",Netflix,Drama
2017,Chrissy Metz,Kate Pearson,This Is Us,"""Pilot""",NBC,Drama
2017,Thandiwe Newton,Maeve Millay,Westworld,"""Trace Decay""",HBO,Drama
2017,Samira Wiley,Moira,The Handmaid's Tale,"""Night""",Hulu,Drama
2018,Thandiwe Newton,Maeve Millay,Westworld,"""Akane no Mai""",HBO,Drama
2018,Millie Bobby Brown,Eleven,Stranger Things,"""Chapter Three: The Pollywog""",Netflix,Drama
2018,Alexis Bledel,Emily / Ofsteven,The Handmaid's Tale,"""Unwomen""",Hulu,Drama
2018,Ann Dowd,Aunt Lydia,The Handmaid's Tale,"""June""",Hulu,Drama
2018,Lena Headey,Cersei Lannister,Game of Thrones,"""The Dragon and the Wolf""",HBO,Drama
2018,Vanessa Kirby,Princess Margaret,The Crown,"""Beryl""",Netflix,Drama
2018,Yvonne Strahovski,Serena Joy Waterford,The Handmaid's Tale,"""Women's Work""",Hulu,Drama
2019,Julia Garner,Ruth Langmore,Ozark,"""The Gold Coast""",Netflix,Drama
2019,Gwendoline Christie,Brienne of Tarth,Game of Thrones,"""A Knight of the Seven Kingdoms""",HBO,Drama
2019,Lena Headey,Cersei Lannister,Game of Thrones,"""The Bells""",HBO,Drama
2019,Fiona Shaw,Carolyn Martens,Killing Eve,"""Nice and Neat""",BBC America,Drama
2019,Sophie Turner,Sansa Stark,Game of Thrones,"""Winterfell""",HBO,Drama
2019,Maisie Williams,Arya Stark,Game of Thrones,"""The Long Night""",HBO,Drama
2020,Julia Garner,Ruth Langmore,Ozark,"""In Case of Emergency""",Netflix,Drama
2020,Helena Bonham Carter,Princess Margaret,The Crown,"""Cri de Coeur""",Netflix,Drama
2020,Laura Dern,Renata Klein,Big Little Lies,"""Tell-Tale Hearts""",HBO,Drama
2020,Thandiwe Newton,Maeve Millay,Westworld,"""The Winter Line""",HBO,Drama
2020,Fiona Shaw,Carolyn Martens,Killing Eve,"""Management Sucks""",BBC America,Drama
2020,Sarah Snook,"Siobhan ""Shiv"" Roy",Succession,"""The Summer Palace""",HBO,Drama
2020,Meryl Streep,Mary Louise Wright,Big Little Lies,"""I Want to Know""",HBO,Drama
2020,Samira Wiley,Moira Strand,The Handmaid's Tale,"""Sacrifice""",Hulu,Drama
2021,Gillian Anderson,Margaret Thatcher,The Crown,"""Favourites""",Netflix,Drama
2021,Helena Bonham Carter,Princess Margaret,The Crown,"""The Hereditary Principle""",Netflix,Drama
2021,Madeline Brewer,Janine Lindo,The Handmaid's Tale,"""Testimony""",Hulu,Drama
2021,Ann Dowd,Aunt Lydia,The Handmaid's Tale,"""Progress""",Hulu,Drama
2021,Aunjanue Ellis,Hippolyta Freeman,Lovecraft Country,"""I Am.""",HBO,Drama
2021,Emerald Fennell,Camilla Parker Bowles,The Crown,"""Fairytale""",Netflix,Drama
2021,Yvonne Strahovski,Serena Joy Waterford,The Handmaid's Tale,"""Home""",Hulu,Drama
2021,Samira Wiley,Moira Strand,The Handmaid's Tale,"""Vows""",Hulu,Drama
2022,Julia Garner,Ruth Langmore,Ozark,"""Sanctified""",Netflix,Drama
2022,Patricia Arquette,Harmony Cobel,Severance,"""What's for Dinner?""",Apple TV+,Drama
2022,HoYeon Jung,Kang Sae-byeok,Squid Game,"""Gganbu""",Netflix,Drama
2022,Christina Ricci,Misty Quigley,Yellowjackets,"""Sic Transit Gloria Mundi""",Showtime,Drama
2022,Rhea Seehorn,Kim Wexler,Better Call Saul,"""Hit and Run""",AMC,Drama
2022,J. Smith-Cameron,Gerri Kellman,Succession,"""The Disruption""",HBO,Drama
2022,Sarah Snook,"Siobhan ""Shiv"" Roy",Succession,"""Chiantishire""",HBO,Drama
2022,Sydney Sweeney,"Cassandra ""Cassie"" Howard",Euphoria,"""Ruminations: Big and Little Bullys""",HBO,Drama
