Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category
2019,Emilia Clarke,Daenerys Targaryen,Game of Thrones,"""The Last of the Starks""",HBO,Drama
2019,Viola Davis,Annalise Keating,How to Get Away with Murder,"""He Betrayed Us Both""",ABC,Drama
2019,Laura Linney,Wendy Byrde,Ozark,"""One Way Out""",Netflix,Drama
2019,Mandy Moore,Rebecca Pearson,This Is Us,"""The Graduates""",NBC,Drama
2019,Robin Wright,Claire Underwood,House of Cards,"""Chapter 70""",Netflix,Drama
2020,Zendaya,"Ruby ""Rue"" Bennett",Euphoria,"""Made You Look""",HBO,Drama
2020,Jodie Comer,Villanelle,Killing Eve,"""Are You From Pinner?""",BBC America,Drama
2020,Sandra Oh,Eve Polastri,Killing Eve,"""Are You Leading or Am I?""",BBC America,Drama
2020,Jennifer Aniston,Alex Levy,The Morning Show,"""In the Dark Night of the Soul It's Always 3:30 in the Morning""",Apple TV+,Drama
2020,Olivia Colman,Queen Elizabeth II,The Crown,"""Cri de Coeur""",Netflix,Drama
2020,Laura Linney,Wendy Byrde,Ozark,"""Fire Pink""",Netflix,Drama
2021,Olivia Colman,Queen Elizabeth II,The Crown,"""48:1""",Netflix,Drama
2021,Emma Corrin,"Diana, Princess of Wales",The Crown,"""Fairytale""",Netflix,Drama
2021,Uzo Aduba,Dr. Brooke Taylor,In Treatment,"""Brooke — Week 5""",HBO,Drama
2021,Elisabeth Moss,June Osborne,The Handmaid's Tale,"""Home""",Hulu,Drama
2021,Michaela Jaé Rodriguez,Blanca Rodriguez,Pose,"""Series Finale""",FX,Drama
2021,Jurnee Smollett,"Letitia ""Leti"" Lewis",Lovecraft Country,"""Holy Ghost""",HBO,Drama
2022,Zendaya,"Ruby ""Rue"" Bennett",Euphoria,"""Stand Still Like the Hummingbird""",HBO,Drama
2022,Jodie Comer,Villanelle,Killing Eve,"""Don't Get Eaten""",BBC America,Drama
2022,Sandra Oh,Eve Polastri,Killing Eve,"""Making Dead Things Look Nice""",BBC America,Drama
2022,Laura Linney,Wendy Byrde,Ozark,"""Pound of Flesh and Still Kickin'""",Netflix,Drama
2022,Melanie Lynskey,Shauna Sadecki,Yellowjackets,"""Doomcoming""",Showtime,Drama
2022,Reese Witherspoon,Bradley Jackson,The Morning Show,"""Confirmations""",Apple TV+,Drama
